# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
lnm 	料	c=8 d=3.49496e-06 t=102671
lnm; herm 	料盒	c=18 d=0.00633842 t=102671
lnm; pan 	料盘	c=2 d=0.00297997 t=102671
lo wen ksz; 	咯问孔	c=1 d=1.09418e-147 t=102671
loc 	落	c=7 d=1.73105e-28 t=102671
loi 	螺	c=3 d=0.0108347 t=102671
loi vum 	螺柱	c=1 d=0.0110536 t=102671
loi; muv 	螺母	c=30 d=0.0544951 t=102671
lok 	咯	c=1 d=1.06224e-122 t=102671
long 	龙	c=1 d=1.64884e-89 t=102671
long feng zhen 	龙凤镇	c=2 d=6.34515e-61 t=102671
long ge 	龙哥	c=1 d=1.72931e-32 t=102671
long men 	龙门	c=3 d=1.43832e-129 t=102671
long tong 	笼统	c=2 d=8.68295e-16 t=102671
long zhou wan 	龙洲湾	c=1 d=1 t=83997
los 	罗	c=1 d=6.19732e-19 t=102671
lou dou 	漏斗	c=1 d=0.29523 t=102671
lou lian 	露脸	c=1 d=8.75055e-19 t=102671
lou xian 	露馅	c=1 d=4.91545e-28 t=102671
lou yi shou 	露一手	c=1 d=7.19903e-17 t=102671
lqd 	流	c=6 d=0.0147061 t=102671
lqe 	陆	c=1 d=7.08439e-34 t=102671
lqm 	柳	c=2 d=5.74365e-07 t=102671
lqp 	留	c=9 d=4.82078e-05 t=102671
lqw 	六	c=10 d=0.0833256 t=102671
lqz 	遛	c=1 d=4.28785e-68 t=102671
lseu 	隆	c=2 d=1.98511 t=88388
lu 	路	c=4 d=0.283654 t=102671
lu 	鲁	c=2 d=9.37934e-100 t=102671
lu bang xing 	魯棒性	c=-1 d=0 t=102671
lu bang xing 	鲁棒性	c=1 d=1.41185e-87 t=102671
lu fei 	路费	c=1 d=1.96438e-149 t=102671
lu jing 	路径	c=18 d=2.63302e-05 t=102671
lu mian 	路面	c=9 d=8.54615e-18 t=102671
lu shang 	路上	c=4 d=1.31988e-14 t=102671
lu shi 	路试	c=1 d=1.29703e-89 t=102671
lu xu 	陆续	c=3 d=7.87783e-77 t=102671
lu yin 	录音	c=1 d=1 t=94908
lu yong 	录用	c=2 d=8.1266e-111 t=102671
lu you 	路由	c=4 d=4.00721e-07 t=102671
lu you qi 	路由器	c=3 d=1.23154e-09 t=102671
lu zha 	炉渣	c=1 d=8.84875e-62 t=102671
lu zhu 	露珠	c=1 d=1 t=92419
lu zi 	路子	c=1 d=2.68603e-36 t=102671
luan 	乱	c=3 d=1.43826e-11 t=102671
luan gao 	乱搞	c=2 d=7.23266e-13 t=102671
luan ma 	乱码	c=3 d=9.73857e-101 t=102671
luan qi ba zao 	乱七八糟	c=1 d=1.5151e-35 t=102671
luf 	撸	c=1 d=1.11929e-61 t=102671
luh 	炉	c=1 d=8.7607e-62 t=102671
lul 	卢	c=11 d=2.48748e-27 t=102671
lun 	伦	c=1 d=5.13978e-53 t=102671
lun 	轮	c=7 d=0.00611149 t=102671
lun gu 	轮毂	c=1 d=4.24853e-136 t=102671
lun tai 	轮胎	c=7 d=1.54202e-07 t=102671
lun tan 	论坛	c=1 d=7.07504e-136 t=102671
lun wen 	论文	c=28 d=0.700722 t=102671
luo ci 	裸辞	c=1 d=1 t=102550
luo dao 	落到	c=2 d=7.56789e-46 t=102671
luo di 	落地	c=3 d=7.81244e-39 t=102671
luo ding 	螺钉	c=2 d=4.05921e-41 t=102671
luo gan 	螺杆	c=12 d=7.90858e-22 t=102671
luo ji 	罗技	c=6 d=1.47899e-16 t=102671
luo ji 	逻辑	c=1 d=7.79306e-38 t=102671
luo liao 	落料	c=2 d=4.24043e-134 t=102671
luo mao 	螺帽	c=3 d=1.56848e-60 t=102671
luo ru 	落入	c=5 d=6.58114e-08 t=102671
luo shi 	落实	c=1 d=2.76859e-98 t=102671
luo shuan 	螺栓	c=36 d=0.76852 t=102671
luo shuan ksz; 	螺栓孔	c=8 d=0.292293 t=102671
luo si 	罗斯	c=1 d=9.29836e-145 t=102671
luo si 	螺丝	c=1 d=9.34497e-145 t=102671
luo tian 	罗田	c=2 d=1 t=100882
luo wen 	螺纹	c=10 d=0.148744 t=102671
luo wen ksz; 	螺纹孔	c=25 d=0.0210293 t=102671
luo xia 	落霞	c=1 d=1.05914e-117 t=102671
luo xuan 	螺旋	c=10 d=9.29007e-17 t=102671
luo xuan mian 	螺旋面	c=1 d=1 t=95387
luo xuan xian 	螺旋线	c=2 d=1.59452 t=95390
luo xuan xing 	螺旋形	c=5 d=4.10748 t=95823
luo xuan zhuang 	螺旋状	c=2 d=1.60957 t=96139
luo yu 	落雨	c=3 d=2.58035e-135 t=102671
luo zai 	落在	c=2 d=1.65411e-09 t=102671
luw 	璐	c=1 d=1.48808e-88 t=102671
luy 	露	c=2 d=1.4086e-49 t=102671
luy qi 	露其	c=1 d=1 t=98567
lv 	率	c=5 d=7.11462e-06 t=102671
lv bang xing 	魯棒性	c=1 d=1.343e-87 t=102671
lv bo 	滤波	c=3 d=2.62666e-30 t=102671
lv dai 	滤袋	c=3 d=1.49994e-114 t=102671
lv se 	绿色	c=12 d=0.588605 t=102671
lv se ban 	绿色版	c=1 d=1 t=89089
lv shi 	律师	c=1 d=6.70869e-40 t=102671
lv wang 	滤网	c=6 d=4.2919e-101 t=102671
lv you 	旅游	c=5 d=6.75311e-86 t=102671
lvd 	滤	c=2 d=2.58506e-134 t=102671
lve 	略	c=2 d=7.61384e-29 t=102671
lvm 	驴	c=1 d=6.34798e-125 t=102671
lwm 	类	c=18 d=0.173925 t=102671
lwm can 	类惨	c=1 d=1 t=94770
lwt 	累	c=2 d=7.00435e-18 t=102671
lwy 	雷	c=3 d=5.81643e-88 t=102671
lyi 	轮	c=0 d=0.1 t=98086
lyi; tir 	轮体	c=4 d=2.42968e-108 t=102671
lyr 	伦	c=1 d=5.16554e-53 t=102671
lzb 	瘘	c=1 d=5.21319e-14 t=102671
lzd 	漏	c=1 d=2.48823e-136 t=102671
ma biao 	码表	c=1 d=4.81811e-28 t=102671
ma ding 	马丁	c=1 d=1.4096e-127 t=102671
ma dou 	麻豆	c=1 d=1.81527e-132 t=102671
ma fan 	麻烦	c=45 d=0.900325 t=102671
ma fang 	码放	c=5 d=4.2146 t=88086
ma la song 	马拉松	c=2 d=1.57081e-98 t=102671
ma li 	马力	c=1 d=0.918512 t=102671
ma lu 	马路	c=2 d=1.03141e-99 t=102671
ma shang 	马上	c=40 d=3.48538e-11 t=102671
ma shang wo 	马上我	c=1 d=6.35379e-77 t=102671
ma si ke 	马斯克	c=1 d=3.41893e-139 t=102671
mai 	买	c=58 d=1.96115 t=102671
mai bu dao 	买不到	c=1 d=9.80834e-38 t=102671
mai bu qi 	买不起	c=1 d=1.86699e-139 t=102671
mai che 	买车	c=1 d=1.91425e-139 t=102671
mai chong 	脉冲	c=1 d=4.93961e-115 t=102671
mai chu qu 	卖出去	c=2 d=8.96597e-11 t=102671
mai dong xi 	买东西	c=1 d=4.08955e-11 t=102671
mai fan shi 	麦饭石	c=1 d=0.128735 t=102671
mai ge 	买个	c=6 d=1.77068e-16 t=102671
mai guo 	买过	c=0 d=1.70038e-11 t=102671
mai guo lai 	买过来	c=1 d=1.7089e-10 t=102671
mai ke feng 	麦克风	c=1 d=1.69386e-53 t=102671
mai ru 	埋入	c=2 d=4.17256e-58 t=102671
mai she 	埋设	c=3 d=1.29649e-57 t=102671
mai shu 	买书	c=1 d=9.0527e-36 t=102671
mai you 	卖友	c=2 d=1.63454e-16 t=102671
mak 	嘛	c=39 d=1.45337 t=102671
makm 	骂	c=1 d=4.74658e-146 t=102671
makm; 	吗	c=1 d=1.15668e-124 t=102671
man 	慢	c=5 d=4.6989e-10 t=102671
man man 	慢慢	c=10 d=4.15277e-15 t=102671
man su 	慢速	c=2 d=4.01621e-63 t=102671
man zu 	满足	c=28 d=0.00726273 t=102671
man; 	妈	c=1 d=3.95578e-149 t=102671
mang 	忙	c=3 d=2.36477e-08 t=102671
mang ksz 	忙孔	c=-1 d=7.4461e-61 t=102671
mang shen me 	忙什么	c=1 d=9.58798e-06 t=102671
mang wan 	忙完	c=1 d=3.25704e-39 t=102671
manm; 	妈	c=13 d=7.56947e-07 t=102671
mao da 	猫大	c=4 d=2.16234e-14 t=102671
mao ding 	铆钉	c=2 d=3.23107e-53 t=102671
mao hao 	冒号	c=1 d=3.03642e-08 t=102671
mao jie 	铆接	c=1 d=1.36617e-53 t=102671
mao jin 	毛巾	c=1 d=1 t=94797
mao xian 	毛线	c=1 d=1 t=87405
mao zhan 	毛毡	c=3 d=2.82807 t=102195
mau 	码	c=4 d=0.00096344 t=102671
maum 	码	c=3 d=1.52746e-13 t=102671
mav 	马	c=1 d=4.65274e-117 t=102671
mbp 	敏	c=1 d=0.00010622 t=102671
mco 	冒	c=2 d=8.16282e-101 t=102671
mcq 	猫	c=5 d=3.9156e-05 t=102671
mdt 	埋	c=3 d=2.75126e-139 t=102671
mdu 	卖	c=12 d=8.73776e-11 t=102671
mdu zhuan li 	卖专利	c=1 d=8.83248e-11 t=102671
mdz 	迈	c=2 d=1.02458e-21 t=102671
me 	么	c=345 d=0.821847 t=102671
mei 	每	c=2 d=5.40057e-86 t=102671
mei 	没	c=13 d=0.00744658 t=102671
mei bai 	美白	c=1 d=1 t=80067
mei ban fa 	没办法	c=21 d=4.33844e-09 t=102671
mei bi yao 	没必要	c=1 d=1 t=95520
mei ci 	每次	c=9 d=3.44134e-10 t=102671
mei cuo 	没错	c=3 d=1.16961e-49 t=102671
mei de 	没得	c=1 d=1 t=102594
mei dian 	没电	c=1 d=1 t=101709
mei duan 	每段	c=1 d=1 t=88470
mei duo 	没多	c=0 d=2.45377e-120 t=102671
mei duo da 	没多大	c=1 d=2.46607e-119 t=102671
mei fa 	没法	c=1 d=1 t=87888
mei fa xian 	没发现	c=1 d=1.05293e-136 t=102671
mei fen 	每份	c=2 d=1.97531 t=85736
mei gan 	没敢	c=1 d=1 t=83956
mei gan 	美感	c=0 d=2.89603e-99 t=102671
mei gan fav 	美感发	c=1 d=2.91054e-98 t=102671
mei ge 	每个	c=43 d=0.83527 t=102671
mei ge bu fen 	没各部分	c=1 d=1.10405e-135 t=102671
mei ge ren 	每个人	c=1 d=5.22579e-13 t=102671
mei ge yue 	每个月	c=5 d=3.08237e-17 t=102671
mei guan 	美观	c=2 d=5.39443e-60 t=102671
mei guan xi 	没关系	c=19 d=0.000142667 t=102671
mei jian 	每件	c=2 d=1.13585e-28 t=102671
mei kan 	没看	c=0 d=7.18318e-139 t=102671
mei kan dao 	没看到	c=1 d=1 t=98196
mei kan qun 	没看群	c=1 d=7.21919e-138 t=102671
mei kuang yu xia 	每况愈下	c=1 d=1.62678e-107 t=102671
mei lin 	梅林	c=1 d=1 t=90362
mei nian 	每年	c=25 d=0.00311976 t=102671
mei pi 	每批	c=1 d=1 t=88050
mei ren 	没人	c=2 d=0.00010569 t=102671
mei rong 	美容	c=2 d=1.9802 t=80111
mei sha 	没啥	c=1 d=2.00058e-11 t=102671
mei shang 	没上	c=5 d=4.16554e-33 t=102671
mei shen me 	没什么	c=1 d=4.36838e-81 t=102671
mei shi 	没事	c=17 d=0.869358 t=102671
mei shi jian 	没时间	c=1 d=3.32071e-149 t=102671
mei shuo 	没说	c=1 d=2.51613e-32 t=102671
mei ti 	媒体	c=2 d=9.71431e-146 t=102671
mei tian 	每天	c=3 d=2.2094e-32 t=102671
mei wen ti 	没问题	c=38 d=0.563207 t=102671
mei xi 	梅西	c=3 d=2.64041 t=85517
mei ya 	美亚	c=1 d=4.35326e-99 t=102671
mei yi 	每一	c=0 d=1.23427e-36 t=102671
mei yi duan 	每一段	c=1 d=1 t=88468
mei yi hhi 	每一行	c=2 d=2.5251e-35 t=102671
mei yi pi 	每一批	c=1 d=1 t=88025
mei yi si 	没意思	c=1 d=2.58397e-139 t=102671
mei yong 	没用	c=3 d=0.000825105 t=102671
mei you 	没有	c=479 d=2.83159 t=102671
mei you gou xuan 	没有勾选	c=1 d=2.19967e-127 t=102671
mei you le 	没有了	c=1 d=5.92323e-75 t=102671
mei you ren 	没有人	c=1 d=1.4441e-88 t=102671
mei you shuo 	没有说	c=1 d=2.40542e-32 t=102671
mei you wen ti 	没有问题	c=2 d=4.51966e-11 t=102671
mei you xpb 	没有写	c=2 d=1.23676e-145 t=102671
mei you yong 	没有用	c=1 d=2.14689e-106 t=102671
mei you zuo guo 	没有做过	c=1 d=1 t=94960
mei yuz 	没遇	c=2 d=2.22661e-35 t=102671
mei zhou 	每周	c=1 d=8.44814e-17 t=102671
mei zhu yi 	没主意	c=1 d=2.84255e-114 t=102671
mei zi 	妹子	c=2 d=6.95843e-77 t=102671
men 	们	c=0 d=1.78915e-139 t=102671
men 	门	c=13 d=2.19995e-12 t=102671
men jin 	门禁	c=1 d=3.65896e-55 t=102671
men kan 	门槛	c=1 d=4.79914e-11 t=102671
men si 	闷死	c=1 d=2.67829e-149 t=102671
men zhen 	门诊	c=3 d=4.7683e-27 t=102671
meng niu 	蒙牛	c=1 d=9.17895e-140 t=102671
mgz 	孟	c=2 d=9.19988e-71 t=102671
mhw; ksz 	盲孔	c=15 d=2.59355e-55 t=102671
mi 	米	c=3 d=4.09661e-28 t=102671
mi du 	密度	c=1 d=0.108609 t=102671
mi feng 	密封	c=1 d=6.872e-117 t=102671
mi feng dian 	密封垫	c=1 d=7.74816e-117 t=102671
mi feng dian quan 	密封垫圈	c=1 d=2.4101e-143 t=102671
mi feng quan 	密封圈	c=4 d=3.15992e-130 t=102671
mi feng xing 	密封性	c=3 d=1.52168e-116 t=102671
mi huo 	迷惑	c=1 d=1 t=86381
mi ma 	密码	c=69 d=0.980199 t=102671
mi mang 	迷茫	c=1 d=3.22069e-54 t=102671
mi mi 	秘密	c=2 d=7.78221e-51 t=102671
mi niao 	泌尿	c=3 d=5.41773e-25 t=102671
mi shu 	秘书	c=2 d=4.82744e-126 t=102671
mi song 	密送	c=4 d=0.0792132 t=102671
mian 	免	c=3 d=4.88594e-16 t=102671
mian 	面	c=14 d=0.261631 t=102671
mian chu 	免除	c=1 d=4.84639e-38 t=102671
mian de 	免得	c=3 d=4.14205e-14 t=102671
mian de 	面的	c=1 d=1.79531e-149 t=102671
mian dui 	面对	c=2 d=6.39149e-29 t=102671
mian fei 	免费	c=8 d=0.084163 t=102671
mian ji 	面积	c=9 d=3.84211e-12 t=102671
mian qiang 	勉强	c=0 d=5.02259e-18 t=102671
mian qiang yong yong 	勉强用用	c=1 d=5.04777e-17 t=102671
mian shou 	免收	c=1 d=1.56278e-76 t=102671
mian xiang 	面向	c=1 d=4.43336e-137 t=102671
miao 	秒	c=4 d=1.54429e-99 t=102671
miao biao 	秒表	c=2 d=8.34982e-128 t=102671
miao mang 	渺茫	c=1 d=1 t=85487
miao shu 	描述	c=21 d=0.434231 t=102671
ming 	名	c=1 d=1.82921e-75 t=102671
ming cheng 	名称	c=97 d=1.04673 t=102671
ming ci 	名词	c=1 d=4.29164e-49 t=102671
ming dan 	名单	c=5 d=1.47561e-09 t=102671
ming di 	鸣笛	c=1 d=1.03685e-14 t=102671
ming dian 	名店	c=1 d=1 t=94804
ming e 	名额	c=1 d=1 t=94889
ming ji 	明基	c=1 d=4.5626e-34 t=102671
ming ling 	命令	c=13 d=7.99462e-05 t=102671
ming ling hhi 	命令行	c=5 d=2.4916e-05 t=102671
ming ming 	命名	c=5 d=2.00541e-10 t=102671
ming nian 	明年	c=15 d=3.46574e-05 t=102671
ming que 	明确	c=10 d=1.5037e-05 t=102671
ming tian 	明天	c=86 d=0.946485 t=102671
ming tian jiu 	名天就	c=1 d=8.04603e-149 t=102671
ming tian xia wu 	明天下午	c=1 d=4.28088e-137 t=102671
ming xi 	明细	c=7 d=8.24554e-17 t=102671
ming xi biao 	明细表	c=2 d=3.1843e-38 t=102671
ming xian 	明显	c=8 d=5.94925e-09 t=102671
ming yi 	名义	c=25 d=8.57715e-05 t=102671
ming zi 	名字	c=23 d=0.000376358 t=102671
miu you 	谬有	c=1 d=1 t=94953
mjw 	蛮	c=1 d=2.47446e-12 t=102671
mjx 	慢	c=0 d=0.1 t=80656
mkj 	铭	c=1 d=2.73423e-10 t=102671
mko 	明	c=1 d=1 t=84198
mkr 	命	c=1 d=1.25335e-39 t=102671
mmd 	免	c=1 d=1.51907e-07 t=102671
mo ban 	模版	c=11 d=0.000322309 t=102671
mo ca 	摩擦	c=2 d=1.56088e-120 t=102671
mo ca li 	摩擦力	c=7 d=0.108737 t=102671
mo ceng 	磨蹭	c=2 d=3.02211e-12 t=102671
mo chuang 	磨床	c=1 d=3.88167e-103 t=102671
mo duan 	末端	c=1 d=1 t=92876
mo gu 	蘑菇	c=1 d=6.60346e-148 t=102671
mo hei 	抹黑	c=1 d=1.09892e-139 t=102671
mo hu 	模糊	c=3 d=0.499074 t=102671
mo huan 	魔幻	c=1 d=3.55422e-125 t=102671
mo ju 	磨具	c=1 d=4.9865e-06 t=102671
mo ju tir 	磨具体	c=-2 d=0.000123762 t=102671
mo kuai 	模块	c=163 d=4.62993e-18 t=102671
mo mo 	默默	c=1 d=2.29497e-126 t=102671
mo ni 	模拟	c=31 d=4.06142e-18 t=102671
mo ni fang fa 	模拟方法	c=1 d=2.25973e-91 t=102671
mo ni ji gou 	模拟机构	c=1 d=3.22442e-97 t=102671
mo ni qi 	模拟器	c=7 d=5.30644e-75 t=102671
mo ren 	默认	c=37 d=0.985132 t=102671
mo sheng ren 	陌生人	c=1 d=3.01935e-118 t=102671
mo shi 	模式	c=14 d=0.579842 t=102671
mo xing 	模型	c=34 d=1.69859e-27 t=102671
mof; yuda; 	摸鱼	c=1 d=4.45269e-100 t=102671
mogu; 	磨	c=2 d=1.54864e-19 t=102671
moh 	墨	c=2 d=0.0169922 t=102671
mom; juq; tir 	模具体	c=4 d=0.00785475 t=102671
momd; zog 	模座	c=23 d=0.125995 t=102671
moo 	膜	c=2 d=1.78402 t=97684
mood; 	膜	c=1 d=1.0931e-106 t=102671
mou ge 	某个	c=1 d=1 t=100494
mou mou 	某某	c=1 d=1.16406e-140 t=102671
mpa 	灭	c=1 d=4.67765e-121 t=102671
mu 	目	c=4 d=1.63677e-32 t=102671
mu ban 	模板	c=18 d=1.94007e-32 t=102671
mu ban fads; 	模板法	c=1 d=1.23486e-70 t=102671
mu biao 	目标	c=12 d=0.00292342 t=102671
mu biao han shu 	目标函数	c=1 d=2.11147e-28 t=102671
mu cai 	木材	c=2 d=1.06971e-11 t=102671
mu di 	目的	c=3 d=7.05048e-07 t=102671
mu ju 	模具	c=14 d=0.937234 t=102671
mu ju tir 	模具体	c=38 d=0.464707 t=102671
mu lu 	目录	c=9 d=8.48182e-05 t=102671
mu men 	木门	c=4 d=5.16118e-31 t=102671
mu qian 	目前	c=50 d=0.0458112 t=102671
mu xian 	母线	c=5 d=3.39143e-30 t=102671
mu yu lu 	沐浴露	c=1 d=1 t=94794
mud 	沐	c=3 d=1.92774 t=98063
mum 	模	c=1 d=6.53992e-05 t=102671
mwn 	妹	c=0 d=3.61224e-140 t=102671
mww you 	玫有	c=1 d=1.26948e-13 t=102671
mwy 	美	c=6 d=0.245406 t=102671
na 	那	c=171 d=0.68919 t=102671
na bian 	那边	c=82 d=2.44141 t=102671
na bu dao 	拿不到	c=1 d=1 t=86355
na chu lai 	拿出来	c=1 d=9.77636e-29 t=102671
na chu qu 	拿出去	c=1 d=4.49544e-36 t=102671
na ci 	那次	c=1 d=1.21689e-74 t=102671
na dao 	拿到	c=6 d=2.30009e-13 t=102671
na dao shou quan 	拿到授权	c=1 d=4.02032e-16 t=102671
na dian 	那点	c=1 d=4.38669e-42 t=102671
na ge 	那个	c=104 d=0.0113346 t=102671
na ge 	那個	c=1 d=1 t=83530
na ge di fang 	那个地方	c=1 d=1 t=102562
na ge ren 	那个人	c=2 d=1.73202e-21 t=102671
na ge shi hou 	那个时候	c=1 d=1.83787e-13 t=102671
na ge suo 	那个所	c=1 d=5.35808e-13 t=102671
na gei 	拿给	c=1 d=2.37672e-126 t=102671
na gfe 	那艮	c=1 d=1 t=102588
na guo lai 	拿过来	c=1 d=1 t=88215
na hao 	那好	c=1 d=5.57147e-90 t=102671
na hui 	那会	c=2 d=2.81262e-19 t=102671
na ji 	那几	c=0 d=3.36836e-53 t=102671
na ji jmr 	那几件	c=1 d=3.38524e-52 t=102671
na jia 	哪家	c=1 d=9.87966e-35 t=102671
na jia 	那家	c=2 d=7.70739e-55 t=102671
na jian 	那件	c=7 d=7.31927e-06 t=102671
na jiu 	那就	c=15 d=0.532624 t=102671
na jiu shi 	那就是	c=1 d=1.05694e-122 t=102671
na kuai 	哪块	c=1 d=2.02103e-13 t=102671
na li 	哪里	c=26 d=0.470011 t=102671
na li 	那里	c=3 d=1 t=98526
na liang ge 	那两个	c=1 d=6.4903e-33 t=102671
na liang jian 	那两件	c=1 d=1 t=84012
na me 	那么	c=21 d=0.126186 t=102671
na me duo 	那么多	c=1 d=8.06463e-88 t=102671
na me yuan 	那么远	c=1 d=1.36738e-34 t=102671
na men 	纳闷	c=2 d=0.000110555 t=102671
na ni 	那你	c=3 d=1.33779e-12 t=102671
na pian 	那篇	c=1 d=1 t=98232
na qu 	拿去	c=4 d=1.16282e-10 t=102671
na san ge 	那三个	c=1 d=2.76465e-140 t=102671
na shi 	那是	c=1 d=4.40764e-98 t=102671
na shi hou 	那时候	c=1 d=1 t=94632
na shui 	纳税	c=7 d=2.13746e-41 t=102671
na shui e 	纳税额	c=1 d=1.21842e-30 t=102671
na suan 	哪算	c=1 d=1.31447e-11 t=102671
na tian 	哪天	c=2 d=3.02694e-30 t=102671
na tian 	那天	c=6 d=6.73509e-42 t=102671
na tiao 	那条	c=1 d=6.48394e-139 t=102671
na wei 	哪位	c=3 d=0.00115437 t=102671
na wei 	那位	c=1 d=1 t=101274
na wo 	那我	c=1 d=4.24708e-132 t=102671
na wo yao 	那我要	c=1 d=1 t=79990
na xia 	拿下	c=1 d=2.21136e-13 t=102671
na xian zai 	那现在	c=1 d=2.4069e-98 t=102671
na xiao de 	那晓得	c=1 d=9.66592e-13 t=102671
na xie 	拿些	c=8 d=4.21267e-07 t=102671
na yang 	那样	c=5 d=0.637628 t=102671
na ye 	那也	c=1 d=1 t=100614
na yi 	那一	c=0 d=7.79596e-14 t=102671
na yi ha 	那一哈	c=1 d=7.83504e-13 t=102671
na yi kuai 	哪一块	c=1 d=1 t=80167
na yi lei 	哪一类	c=1 d=5.21496e-18 t=102671
na yi mian 	那一面	c=1 d=0.00377257 t=102671
na yi pai 	那一排	c=1 d=8.9037e-76 t=102671
na yi pi 	那一批	c=1 d=1.78319e-40 t=102671
na yi tang 	那一趟	c=1 d=1.27113e-87 t=102671
na yi xia 	那一下	c=1 d=1 t=84086
na yi zhong 	那一种	c=1 d=6.9666e-72 t=102671
na you 	哪有	c=1 d=3.58811e-119 t=102671
na zhang 	那张	c=1 d=6.76668e-53 t=102671
na zheng 	拿证	c=8 d=0.000181365 t=102671
na zhi 	那只	c=1 d=1 t=100537
na zhong 	哪种	c=1 d=1 t=79656
na zhong 	那种	c=7 d=1.25899e-33 t=102671
na zhuang 	那桩	c=1 d=1 t=90839
nai 	奶	c=1 d=1 t=95604
nai cha 	奶茶	c=1 d=1.28844e-11 t=102671
nai chi 	奶吃	c=1 d=1.28202e-11 t=102671
nai xin 	耐心	c=1 d=3.2984e-11 t=102671
nak 	哪	c=12 d=4.15985e-35 t=102671
nak ge 	哪个	c=31 d=0.00197932 t=102671
nake; xpv 	哪些	c=8 d=1.90268e-09 t=102671
nan 	男	c=2 d=1.68782e-11 t=102671
nan 	难	c=2 d=3.28407e-48 t=102671
nan an 	南岸	c=1 d=1.48975e-13 t=102671
nan cheng 	南城	c=2 d=0.000779543 t=102671
nan dao 	难道	c=1 d=3.4746e-35 t=102671
nan dian 	难点	c=1 d=4.26574e-66 t=102671
nan du 	难度	c=14 d=0.577394 t=102671
nan guan 	难关	c=1 d=5.01816e-36 t=102671
nan kai 	南开	c=5 d=4.71388e-06 t=102671
nan ken 	难啃	c=1 d=1.62872e-121 t=102671
nan ning 	南宁	c=8 d=9.63732e-87 t=102671
nan peng you 	男朋友	c=1 d=2.05011e-34 t=102671
nan ping 	南坪	c=5 d=1.79652e-10 t=102671
nan ren 	男人	c=5 d=6.73085e-28 t=102671
nan sheng 	男生	c=1 d=1.96972e-34 t=102671
nan yi 	难易	c=1 d=3.70026e-40 t=102671
nang ge 	囊个	c=1 d=1.8532e-140 t=102671
nao 	闹	c=2 d=2.30302e-79 t=102671
nao ke 	脑壳	c=1 d=6.0246e-10 t=102671
nao nao 	闹闹	c=0 d=0.1 t=89381
nao zi 	脑子	c=1 d=5.38625e-104 t=102671
nar 	拿	c=37 d=0.941774 t=102671
nau vgb 	南郑	c=1 d=1.08436e-41 t=102671
nave; xpv 	那些	c=3 d=1 t=94894
ne 	呢	c=109 d=0.697676 t=102671
nei 	内	c=220 d=2.76805 t=102671
nei bi 	内壁	c=6 d=1.05963e-11 t=102671
nei bu 	内部	c=28 d=3.45394e-18 t=102671
nei ce 	内侧	c=9 d=1.62812e-06 t=102671
nei duan 	内段	c=1 d=1 t=97505
nei fu 	内附	c=1 d=1 t=94197
nei ge 	哪个	c=3 d=1.74342e-10 t=102671
nei han 	内涵	c=1 d=1 t=93353
nei he 	内核	c=1 d=1.13153e-42 t=102671
nei jing 	内经	c=-2 d=5.2325e-125 t=102671
nei jki 	内径	c=14 d=0.0753961 t=102671
nei kong 	内孔	c=8 d=2.38935e-12 t=102671
nei luo wen 	内螺纹	c=2 d=3.94018e-124 t=102671
nei ping 	内屏	c=1 d=3.18041e-53 t=102671
nei qiang 	内腔	c=1 d=1 t=93831
nei qie yuan 	内切圆	c=10 d=1.06843e-14 t=102671
nei quan 	内圈	c=3 d=4.12956e-26 t=102671
nei rong 	内容	c=72 d=0.21567 t=102671
nei rong bak 	内容吧	c=1 d=4.29923e-11 t=102671
nei shi 	内饰	c=2 d=2.37409e-09 t=102671
nei tao 	内套	c=7 d=1.39096e-116 t=102671
nei tao guan 	内套管	c=1 d=1 t=87608
nei tong 	内筒	c=1 d=5.35557e-125 t=102671
nei wai 	内外	c=5 d=6.93947e-110 t=102671
nei zhi 	内置	c=1 d=2.75516e-129 t=102671
neng 	能	c=105 d=1.74256 t=102671
neng bu neng 	能不能	c=22 d=0.25924 t=102671
neng fou 	能否	c=7 d=0.688907 t=102671
neng gou 	能够	c=181 d=0.838961 t=102671
neng li 	能力	c=7 d=1.7455e-24 t=102671
neng liang 	能量	c=2 d=2.89427e-32 t=102671
neng yong 	能用	c=3 d=3.19374e-14 t=102671
neng yuan 	能源	c=22 d=2.833 t=102671
neng zai 	能在	c=1 d=2.86301e-22 t=102671
ni 	你	c=635 d=2.54829 t=102671
ni cheng 	昵称	c=2 d=1.33278e-144 t=102671
ni hao 	你好	c=9 d=0.00150133 t=102671
ni hcd 	你浩	c=1 d=1 t=87847
ni he 	你和	c=1 d=3.1881e-52 t=102671
ni ian zhuan 	你姹转	c=1 d=5.54727e-127 t=102671
ni jie 	你姐	c=1 d=2.32434e-11 t=102671
ni kan 	你看	c=0 d=5.63819e-84 t=102671
ni kan kan 	你看看	c=1 d=1.47252e-82 t=102671
ni kan yi xia 	你看一下	c=1 d=5.66645e-83 t=102671
ni lao 	你老	c=0 d=0.1 t=95193
ni lao po 	你老破	c=1 d=1 t=95194
ni men 	你们	c=297 d=0.516229 t=102671
ni men you mei you 	你们有没有	c=1 d=3.13222e-138 t=102671
ni mff 	你扪	c=1 d=1.37826e-39 t=102671
